variable,category,subcommunity,community,prop,min_ci,max_ci
GENDER,UNKNOWN,C3_1,C3,0.16829745596868884,0.13836006749308624,0.20318498247956554
GENDER,,C3_1,C3,0.0273972602739726,0.016388717071622982,0.04545865501330566
GENDER,,C3_2,C3,0.8092485549132948,0.7442342310831505,0.8608270214728093
GENDER,MALE,C3_2,C3,0.12138728323699421,0.08078070419338436,0.17844336978016034
GENDER,FEMALE,C3_2,C3,0.046242774566473986,0.023615152637950027,0.08858469174255772
GENDER,UNKNOWN,C3_2,C3,0.023121387283236993,0.009027193027358965,0.057934426862983585
GENDER,,C4_0,C4,0.9780033840947546,0.9627317951716179,0.9871008997844846
GENDER,FEMALE,C4_0,C4,0.011844331641285956,0.005748915780679388,0.024244951494238838
GENDER,MALE,C4_0,C4,0.008460236886632826,0.003618912988070721,0.01965047503052112
GENDER,UNKNOWN,C4_0,C4,0.001692047377326565,0.00029874269429985487,0.009521686811639205
GENDER,MALE,C4_15,C4,0.4883720930232558,0.34617209277756,0.6324793623392592
GENDER,FEMALE,C4_15,C4,0.4186046511627907,0.2838433433748524,0.5667168424428823
GENDER,UNKNOWN,C4_15,C4,0.06976744186046512,0.024011153791962503,0.18609268553034927
GENDER,,C4_15,C4,0.023255813953488372,0.004116981177419918,0.12059267861216882
RACE,White,C1_0,C1,0.837542662116041,0.817774864845838,0.8555448450534461
RACE,Caucasian,C1_0,C1,0.05255972696245734,0.0422578733823363,0.06520204605349667
RACE,Other/Unknown,C1_0,C1,0.027986348122866895,0.020696129375023853,0.03774557053325761
RACE,Multiple,C1_0,C1,0.023208191126279865,0.016654877353525943,0.03225550209106495
RACE,Black or African American,C1_0,C1,0.018430034129692834,0.012696692120739256,0.026682366860161073
RACE,,C1_0,C1,0.012969283276450512,0.008318334208417176,0.02016778709969392
RACE,White or Caucasian,C1_0,C1,0.010921501706484642,0.0067336198297304715,0.017667649851084665
RACE,Asian,C1_0,C1,0.005460750853242321,0.002769577058555122,0.010738754949470793
RACE,Hispanic,C1_0,C1,0.00477815699658703,0.002316417511540013,0.009830297287387248
RACE,Declined,C1_0,C1,0.0020477815699658703,0.0006966569365621741,0.006003589025970476
RACE,Native American,C1_0,C1,0.0020477815699658703,0.0006966569365621741,0.006003589025970476
RACE,Amer. Indian/Alaska Native,C1_0,C1,0.0013651877133105802,0.00037445574105894695,0.004964173012375051
RACE,Asian or Pacific Islander,C1_0,C1,0.0006825938566552901,0.00012050164076947856,0.0038565099035658664
RACE,White,C1_1,C1,0.8450390189520625,0.8198908874427004,0.8672443425466785
RACE,Caucasian,C1_1,C1,0.046822742474916385,0.03482478893365761,0.0626858056037172
RACE,Other/Unknown,C1_1,C1,0.03567447045707915,0.025381597153179884,0.049927535995200466
RACE,Black or African American,C1_1,C1,0.023411371237458192,0.015362588343819176,0.03552493727666726
RACE,Multiple,C1_1,C1,0.0189520624303233,0.011865811397747025,0.03014112966714163
RACE,White or Caucasian,C1_1,C1,0.012263099219620958,0.0068610355797458404,0.021825028651746133
RACE,,C1_1,C1,0.008918617614269788,0.004525940757372641,0.017499685057420993
RACE,Hispanic,C1_1,C1,0.004459308807134894,0.0017354354571155724,0.011409605802080273
RACE,Native American,C1_1,C1,0.0011148272017837235,0.00019681642663105193,0.0062877864158664525
RACE,Asian,C1_1,C1,0.0011148272017837235,0.00019681642663105193,0.0062877864158664525
RACE,Amer. Indian/Alaska Native,C1_1,C1,0.0011148272017837235,0.00019681642663105193,0.0062877864158664525
RACE,Pacific Islander,C1_1,C1,0.0011148272017837235,0.00019681642663105193,0.0062877864158664525
RACE,White,C1_2,C1,0.8570923240183941,0.8437060461176049,0.8695094160262324
RACE,Caucasian,C1_2,C1,0.04740007074637425,0.04016235317007836,0.05586619183929269
RACE,Other/Unknown,C1_2,C1,0.027591085956844712,0.02216418360754338,0.03430015547804868
RACE,Multiple,C1_2,C1,0.019808984789529537,0.015286272493471212,0.025634985693493394
RACE,Black or African American,C1_2,C1,0.01804032543332154,0.013747878069985682,0.023640861730927228
RACE,White or Caucasian,C1_2,C1,0.013795542978422356,0.010108125143497624,0.018802570530891217
RACE,,C1_2,C1,0.008489564909798374,0.00571159232327177,0.012601548192961989
RACE,Asian,C1_2,C1,0.0021223912274495934,0.0009730493970277539,0.0046230249294199
RACE,Native American,C1_2,C1,0.0017686593562079944,0.0007556836591653291,0.004133886990071985
RACE,Hispanic,C1_2,C1,0.0014149274849663955,0.0005503620546385541,0.0036327049173884214
RACE,Declined,C1_2,C1,0.0007074637424831977,0.00019402945795688668,0.002576030159649411
RACE,Amer. Indian/Alaska Native,C1_2,C1,0.0007074637424831977,0.00019402945795688668,0.002576030159649411
RACE,East Indian,C1_2,C1,0.0007074637424831977,0.00019402945795688668,0.002576030159649411
RACE,Middle Eastern,C1_2,C1,0.00035373187124159886,6.24434841218261e-05,0.0020011124562741324
RACE,White,C1_3,C1,0.8430583501006036,0.8237158506425235,0.8606375952342837
RACE,Caucasian,C1_3,C1,0.05432595573440644,0.04392401295584471,0.06701857788454936
RACE,Other/Unknown,C1_3,C1,0.02682763246143528,0.01976272787572822,0.03632455254247797
RACE,Multiple,C1_3,C1,0.02481556002682763,0.018056618563603445,0.03401685865297924
RACE,Black or African American,C1_3,C1,0.018108651911468814,0.012474771235482747,0.026219361975688263
RACE,,C1_3,C1,0.014755197853789403,0.009764039395083786,0.02224042181338138
RACE,White or Caucasian,C1_3,C1,0.01341381623071764,0.008699941974317331,0.0206286504330655
RACE,Asian,C1_3,C1,0.0026827632461435278,0.001043736749988782,0.006877905248735363
RACE,Declined,C1_3,C1,0.0006706908115358819,0.00011840016367674301,0.003789438633423899
RACE,Native American,C1_3,C1,0.0006706908115358819,0.00011840016367674301,0.003789438633423899
RACE,Hispanic,C1_3,C1,0.0006706908115358819,0.00011840016367674301,0.003789438633423899
